companyString,date,twitteruserid,id,count(*),favoriteCount,retweetCount,isReply,isRetweet,isStatusQuote,hasPlace,hasCoords,possiblySensitive,hasExtendedMediaEntities,hasHashtagEntities,hasMediaEntities,hasMentionEntities,hasUrlEntities
Deloitte,2014,63,8457092,5,8,12,0,0,0,0,0,0,0,4,0,2,5
Deloitte,2015,63,8457092,2182,51638,29937,12,48,16,0,0,0,393,1765,393,535,2047
Deloitte,2016,63,8457092,1054,10415,10955,41,117,69,0,0,0,234,919,234,479,839
Genentech,2014,64,27708036,1425,346,2655,35,288,0,0,0,0,249,1347,249,543,1060
Genentech,2015,64,27708036,1449,647,4607,14,301,10,0,0,0,368,1357,368,782,1078
Genentech,2016,64,27708036,362,260,1849,3,96,5,0,0,0,232,316,232,141,219
Umpqua Bank,2010,65,69084338,384,1,5,0,0,0,384,384,0,0,384,0,0,0
Umpqua Bank,2011,65,69084338,56,0,0,0,0,0,56,56,0,0,56,0,0,21
Teach For America,2015,66,19918047,402,2321,2426,140,30,5,0,0,0,140,143,140,236,220
Teach For America,2016,66,19918047,2835,11202,16850,1414,598,27,0,0,0,535,1026,535,2337,802
Mayo Clinic,2015,67,18410558,844,35,143,0,0,0,0,0,0,0,844,0,2,844
Mayo Clinic,2016,67,18410558,2394,81,419,0,0,0,0,0,0,7,2382,7,13,2387
Starbucks,2013,68,59899837,595,720,5098,372,43,0,22,22,0,20,223,20,412,297
Starbucks,2014,68,59899837,1135,3655,8754,745,105,0,327,327,0,139,404,139,896,487
Starbucks,2015,68,59899837,1311,7165,21581,588,270,6,0,0,0,465,799,465,955,517
Starbucks,2016,68,59899837,179,2789,2278,68,38,1,0,0,0,76,82,76,114,94
Rackspace Hosting,2009,69,30262383,570,5,0,0,0,0,0,0,0,0,0,0,0,0
Rackspace Hosting,2010,69,30262383,170,2,19,0,1,0,0,0,0,0,2,0,1,0
FactSet Research Systems,2014,70,57650435,911,123,1860,35,168,0,0,0,0,52,274,52,599,571
FactSet Research Systems,2015,70,57650435,1787,457,5001,147,300,1,0,0,0,264,776,264,890,1069
FactSet Research Systems,2016,70,57650435,516,114,2173,47,72,4,0,0,0,69,233,69,212,289
Microsoft,2014,71,14344319,1012,3380,29238,420,186,0,0,0,0,278,453,278,756,592
Microsoft,2015,71,14344319,1546,7578,77792,585,268,15,0,0,0,435,784,435,1106,858
Microsoft,2016,71,14344319,661,5597,10813,209,66,24,0,0,0,231,340,231,357,424
Aflac,2012,72,278365892,219,67,630,8,2,0,0,0,0,0,80,0,123,172
Aflac,2013,72,278365892,808,673,5835,20,27,0,0,0,0,2,267,2,422,707
Aflac,2014,72,278365892,596,1437,3685,7,6,0,0,0,0,21,249,21,62,552
